cd_ibge;municipio;gde_regiao;mes;casos_novos;pop;pop_60;obitos;area
3547403;Santa Rita d'Oeste;Interior;Abril;0;2404;667;0;2098
3547502;Santa Rita do Passa Quatro;Interior;Abril;1;26385;5912;1;75414
3547601;Santa Rosa de Viterbo;Interior;Abril;0;25604;4413;0;28858
3547650;Santa Salete;Interior;Abril;0;1440;359;0;7919
3547700;Santo Anastácio;Interior;Abril;0;20127;3961;0;55288
3547809;Santo André;RMSP (exceto capital);Abril;471;693867;123293;28;17578
3547908;Santo Antônio da Alegria;Interior;Abril;1;6637;1255;1;31031
3548005;Santo Antônio de Posse;Interior;Abril;1;22849;3160;0;15413
3548054;Santo Antônio do Aracanguá;Interior;Abril;2;8252;1293;0;130843
3548104;Santo Antônio do Jardim;Interior;Abril;0;5826;1169;0;10996
3548203;Santo Antônio do Pinhal;Interior;Abril;2;6628;1061;0;13301
3548302;Santo Expedito;Interior;Abril;0;2972;585;0;9447
3548401;Santópolis do Aguapeí;Interior;Abril;0;4668;700;0;12803
3548500;Santos;Interior;Abril;553;428703;95433;47;28103
3548609;São Bento do Sapucaí;Interior;Abril;0;10530;2027;0;25258
3548708;São Bernardo do Campo;RMSP (exceto capital);Abril;638;812086;122274;44;40953
3548807;São Caetano do Sul;RMSP (exceto capital);Abril;155;151244;34932;8;1533
3548906;São Carlos;Interior;Abril;14;242632;40879;3;113691
3549003;São Francisco;Interior;Abril;0;2677;612;0;7558
3549102;São João da Boa Vista;Interior;Abril;16;87340;16640;0;5164
3549201;São João das Duas Pontes;Interior;Abril;0;2476;489;0;12946
3549250;São João de Iracema;Interior;Abril;0;1850;357;0;1784
3549300;São João do Pau d'Alho;Interior;Abril;0;1985;529;0;11767
3549409;São Joaquim da Barra;Interior;Abril;3;50274;8130;0;41086
3549508;São José da Bela Vista;Interior;Abril;0;8727;1206;0;27695
3549607;São José do Barreiro;Interior;Abril;0;4070;703;0;57069
3549706;São José do Rio Pardo;Interior;Abril;3;53206;10348;0;41968
3549805;São José do Rio Preto;Interior;Abril;82;447924;79391;8;43194
3549904;São José dos Campos;Interior;Abril;210;710654;103840;10;109941
3549953;São Lourenço da Serra;RMSP (exceto capital);Abril;6;15579;2134;1;18646
3550001;São Luiz do Paraitinga;Interior;Abril;0;10569;1985;0;61732
3550100;São Manuel;Interior;Abril;8;39574;6377;1;65073
3550209;São Miguel Arcanjo;Interior;Abril;7;32000;4774;0;93034
3550308;São Paulo;Capital;Abril;16264;11869660;1853286;1401;152111
3550407;São Pedro;Interior;Abril;17;34208;6296;0;61128
